fish_ID,date,time,spot,background,stimulus,correct,number_incorrect_pecks,time_detection_seconds,contrast
T,24/10/2017,10:00:00,bright,1dark,85-75-75,1,0,2.22,0.36590405
M,11/01/2017,14:00:00,dark,2bright,30-30-30,1,0,2.22,0.369359853
B,11/10/2017,10:00:00,bright,2bright,70-66-64,1,0,2.25,0.099135488
C,11/02/2017,15:00:00,bright,1dark,63-58-55,1,0,2.25,0.119903714
D,20/10/2017,10:00:00,bright,2bright,75-71-69,1,0,2.25,0.129079105
B,11/06/2017,15:00:00,dark,2bright,50-50-50,1,0,2.25,0.146998711
M,11/02/2017,15:00:00,dark,2bright,50-50-50,1,0,2.25,0.146998711
B,31/10/2017,16:00:00,dark,2bright,30-30-30,1,0,2.25,0.369359853
D,11/07/2017,14:00:00,dark,2bright,30-30-30,1,0,2.25,0.369359853
S,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,2.25,0.369359853
J,31/10/2017,15:00:00,bright,1dark,55-55-55,1,0,2.28,0.098101105
O,11/09/2017,15:00:00,bright,2bright,75-71-69,1,0,2.28,0.129079105
B,11/09/2017,14:00:00,dark,2bright,50-50-50,1,0,2.28,0.146998711
E,27/10/2017,10:00:00,dark,2bright,48-48-48,1,0,2.28,0.197223484
M,20/10/2017,13:00:00,dark,2bright,48-48-48,1,0,2.28,0.197223484
F,15/11/2017,15:00:00,bright,2bright,85-75-75,1,0,2.28,0.217397242
S,15/11/2017,15:00:00,bright,2bright,85-75-75,1,0,2.28,0.217397242
D,11/06/2017,15:00:00,bright,2bright,plain,1,0,2.28,0.419240736
O,27/10/2017,10:00:00,bright,2bright,plain,1,0,2.28,0.419240736
O,24/10/2017,10:00:00,bright,2bright,plain,1,0,2.28,0.419240736
T,30/10/2017,11:30:00,bright,1dark,55-55-55,1,0,2.31,0.098101105
J,31/10/2017,15:00:00,dark,1dark,40-40-40,1,0,2.31,0.125392552
O,30/10/2017,11:30:00,dark,2bright,50-50-50,1,0,2.31,0.146998711
C,11/07/2017,14:00:00,dark,1dark,36-36-36,1,0,2.31,0.162338153
O,13/11/2017,15:00:00,bright,2bright,85-75-75,1,0,2.31,0.217397242
