Stimulus A,Stumulus B,Mean chemotaxis index (A relative to B),Standard deviation (measured/estimated),Standard error,Number of days repeated,All measured Chemotaxis indexes
'DA-4','Py-4',0.652092661,0.108533875,0.076745039,2,0.419643 0.884542 
'DA-4','Py-5',0.781746032,0.084574971,0.084574971,1,0.781746
'DA-4','TT-2',0.708031603,0.098196806,0.056693953,3,0.702014 0.802680 0.619400 
'DA-4','TT-3',-0.02926223,0.223627948,0.158128839,2,0.011614 -0.070139 
'DA-4','TT-4',0.077673325,0.214681966,0.214681966,1,0.077673
'DA-4','TT-5',0.372474747,0.160205025,0.160205025,1,0.372475
'DA-5','IA-1',-0.767590618,0.087190778,0.087190778,1,-0.767591
'DA-5','IA-2',-0.663678319,0.106392938,0.061425991,3,-1.991036
'DA-5','IA-3',-0.433865833,0.148860444,0.085944618,3,-1.301598
'DA-5','IA-4',-0.089573312,0.212482944,0.106241472,4,-0.358294
'DA-5','NH4Ac-1E-0',0.457098039,0.144567319,0.144567319,1,0.457098
'DA-5','NH4Ac-2E+1',-0.061178015,0.217730167,0.217730167,1,-0.061178
'DA-5','NH4Ac-5E-0',0.177313883,0.196269189,0.196269189,1,0.177314
'DA-5','NaCl-1E-0',0.288279874,0.175763563,0.124283607,2,0.195752 0.380808 
'DA-5','NaCl-2E+1',-0.327349619,0.168543787,0.119178455,2,-0.654699
'DA-5','NaCl-2E-1',0.390009141,0.115839215,0.047291161,6,0.399613 0.500396 0.540841 0.309986 0.233537 0.355681 
'DA-5','NaCl-5E-0',-0.217830365,0.158703179,0.070974219,5,-0.345842 0.003529 -0.304135 -0.339434 -0.103271 
'DA-5','No',0.492605092,0.171500111,0.049507818,12,0.263579 0.412450 0.393091 0.719903 0.457364 0.290055 0.292778 0.502707 0.761785 0.553990 0.577821 0.685738 
'DA-5','PD-2',-0.834918019,0.074749213,0.052855676,2,-1.669836
'DA-5','PD-3',-0.949593588,0.053558087,0.037871287,2,-1.899187
'DA-5','PD-4',-0.658694913,0.107313832,0.075882338,2,-1.31739
'DA-5','PD-5',-0.143640789,0.202491707,0.116908642,3,-0.430922
'DA-5','Py-2',-0.581681476,0.121545298,0.121545298,1,-0.581681
'DA-5','Py-3',-0.622885429,0.148582234,0.066447995,5,-3.114428
'DA-5','Py-4',-0.05438914,0.218984697,0.218984697,1,-0.054389
'DA-5','Py-5',0.149727591,0.233133262,0.095176256,6,0.539582 -0.013184 0.315128 0.000849 -0.055876 0.111866 
'DA-5','TT-2',-0.404315606,0.154321089,0.154321089,1,-0.404316
'DA-5','TT-3',-0.782661783,0.084405747,0.084405747,1,-0.782662
'DA-5','TT-4',-0.745915033,0.091196252,0.091196252,1,-0.745915
'DA-5','TT-5',-0.285781404,0.17622526,0.124610077,2,-0.571562
'IA-1','IA-2',0.807289117,0.079854813,0.079854813,1,0.807289
'IA-1','IA-3',0.981028369,0.047749191,0.047749191,1,0.981028
'IA-1','IA-4',0.981147498,0.047727177,0.047727177,1,0.981147
