group,u,s,m,l
real,0.042312284,0.266047253,0.34146725,0.350173212
real,0.046005904,0.238600102,0.329401306,0.385992688
real,0.03602997,0.218068116,0.340343709,0.405558205
real,0.040338006,0.226449074,0.33594934,0.39726358
real,0.043501605,0.268845764,0.339054971,0.34859766
real,0.053038933,0.261939605,0.329697163,0.355324299
real,0.048142334,0.259475716,0.333150677,0.359231273
real,0.039960521,0.256912585,0.336604194,0.3665227
real,0.045867645,0.281127522,0.336492534,0.336512299
real,0.050914649,0.26341961,0.330762878,0.354902862
real,0.053852261,0.233586284,0.315758966,0.396802489
real,0.051078459,0.233782731,0.319612774,0.395526037
real,0.054752979,0.258422254,0.328867973,0.357956795
real,0.037783473,0.246506036,0.340278402,0.375432089
real,0.02107934,0.12648198,0.319022719,0.53341596
real,0.04074573,0.234355378,0.34005213,0.384846761
real,0.053963714,0.267515197,0.330149914,0.348371175
real,0.037296832,0.314072703,0.33451325,0.314117215
real,0.055230225,0.265741955,0.327922318,0.351105503
real,0.053589139,0.255188707,0.326895192,0.364326962
real,0.051503467,0.255799947,0.331325906,0.36137068
real,0.05574798,0.269383268,0.329678443,0.34519031
real,0.049334986,0.256234951,0.331097419,0.363332644
real,0.049856802,0.267943652,0.331156655,0.351042891
real,0.05648955,0.273109231,0.328276134,0.342125086
real,0.046670947,0.268104637,0.333286662,0.351937754
real,0.056418488,0.247526941,0.318998715,0.377055857
real,0.021906077,0.155533365,0.340132723,0.482427835
real,0.049563023,0.256704588,0.330561601,0.363170789
