"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.32084499231586,1.8,0.1,328,352,1,2,2.266,1
7.3208449948838,1.8,0.6,347,483,2,2,2.906,1
7.32084499679178,1.8,0.4,339,426,2,2,3.172,1
7.32084499901076,1.8,0.7,346,521,1,1,4.843,1
7.32084500087708,1.8,0.3,343,420,2,2,2.64,1
7.32084500280671,1.8,1,340,584,2,2,3.593,1
7.32084500519387,1.8,0.5,327,456,2,2,7.797,1
7.3208450073169,1.8,0.1,331,373,1,2,3.031,1
7.32084500867685,1.8,0.4,327,449,1,2,3.172,1
7.32084501030093,1.8,0.8,350,548,2,2,3.89,1
7.32084501266273,1.8,0.2,344,398,1,2,6.281,1
7.3208450162434,1.8,0.6,332,480,1,1,4.407,1
7.32084502164525,1.8,0.9,336,552,2,1,5.672,1
7.32084502640509,1.8,0.6,350,499,1,2,4.203,1
7.32084502890625,1.8,0.3,340,405,2,2,3.734,1
7.32084503289745,1.8,0.9,330,568,2,2,2.875,1
7.32084503859225,1.8,0.7,350,504,2,2,3.375,1
7.3208450404441,1.8,0.1,336,360,1,2,5.71899999999999,1
7.32084504176065,1.8,0.4,341,447,1,2,3.203,1
7.3208450434588,1.8,0.8,328,546,2,2,3.407,1
7.32084504636678,1.8,0.2,349,378,2,1,3.516,1
7.32084504855139,1.8,0.5,338,472,1,2,3.031,1
7.32084505104167,1.8,1,343,586,1,1,6.031,1
7.32084505351018,1.8,0.5,350,466,2,2,3.109,1
7.32084505580868,1.8,0.8,338,535,1,1,6.422,1
7.32084505819942,1.8,0.3,338,405,2,2,5.016,1
7.32084506191215,1.8,1,347,589,2,2,7.906,1
7.32084506468819,1.8,0.1,344,370,1,2,3.485,1
7.32084506697407,1.8,0.7,339,506,2,2,3.969,1
7.32084507187674,1.8,0.9,344,566,2,2,15.766,1
7.32084507576678,1.8,0.2,346,393,1,2,6.125,1
7.32084507711944,1.8,0.6,333,494,1,2,4.344,1
7.32084508219942,1.8,0.4,327,447,1,1,4.906,1
7.32084508552697,1.8,0.9,332,574,2,2,5.843,1
7.32084509110417,1.8,0.6,347,491,1,2,33.015,1
7.32084509281493,1.8,0.3,328,404,1,1,3.312,1
7.32084509675741,1.8,0.1,329,358,2,2,10.36,1
7.32084510107778,1.8,0.7,346,525,1,1,9.703,1
7.32084510322442,1.8,0.2,346,392,2,2,4.782,1
7.32084511003137,1.8,0.8,331,537,1,1,7.719,1
7.32084511395938,1.8,0.4,346,444,2,2,7.688,1
7.32084512027627,1.8,1,332,593,2,2,29.281,1
7.32084512209201,1.8,0.5,345,463,1,1,1.937,1
7.32084512472141,1.8,0.2,346,376,2,1,2.734,1
7.32085516921655,1.8,1,338,579,2,2,1.563,1
7.32085517676863,1.8,0.6,336,489,2,1,2.203,1
7.3208551792588,1.8,0.4,343,445,1,1,2.954,1
7.32085518119028,1.8,0.8,341,547,2,2,2.203,1
7.32085518291736,1.8,0.5,332,458,1,2,2.063,1
7.32085518452141,1.8,0.9,340,570,2,2,2.657,1
7.32085518649086,1.8,0.3,331,411,1,2,2.375,1
7.32085518827396,1.8,0.7,330,507,1,1,2.11,1
7.32085519082211,1.8,0.5,335,468,2,2,2.594,1
7.32085519326528,1.8,0.9,342,572,1,1,3.266,1
7.32085519524016,1.8,0.3,328,417,2,1,3.5,1
7.32085519673935,1.8,0.7,328,506,1,2,4.516,1
7.32085519797454,1.8,1,333,593,1,1,2.953,1
7.32085520000718,1.8,0.2,331,398,2,2,4.391,1
7.32085520259502,1.8,0.8,330,531,1,2,3.796,1
7.32085520453912,1.8,0.4,343,443,1,2,8.781,1
7.32085520594792,1.8,0.6,331,476,1,1,2.40600000000001,1
7.32085520938218,1.8,1,347,600,2,2,4.703,1
