Experiment.x,FemaleID.x,Year.x,HostNest.x,EggColour.x,ExpNest.x,Egg_rejected.x,Rejection_Error.x,ExpEggReceived.x,HostEggRemoved.x,EggStage.x,DateManipulation.x,TimeManipulation.x,DayOfRemoval.x,ClutchSize.x,Year_Nest,reduced_OldEmax,reduced_Eprop,reduced_PD,reduced_Emax,reduced_ExpHost,reduced_Complexity
3,15,2019,PS051,White,PS049,0,NO,P4,P3,0,22/02/2019,18:20,NA,3,2019_PS051,0.25,0.003016317,0.045517242,0.5,0.92152125,93.015821
3,16,2019,PS057,White,PS051,0,NO,P3,P3,0,25/02/2019,17:15,NA,3,2019_PS057,0.375,0.028852731,0.142128419,1.5,0.92783875,959.045408
3,17,2019,PS060,Olive,PS022,1,NO,P4,P3,2,28/02/2019,14:00,2,3,2019_PS060,0.375,0.017920226,0.223804995,1,0.93441,663.782147
3,19,2019,PS064,Red-Olive,PS034,0,NO,P4,P3,2,01/03/2019,09:00,NA,3,2019_PS064,1,0.017353109,0.143697979,1.5,0.90326875,224.401085
3,20,2019,PS066,Olive,PS060,0,NO,P3,P3,0,01/03/2019,11:00,NA,3,2019_PS066,0.25,0.006652568,0.041046373,0,0.9251825,318.217735
3,21,2019,PS079,White,PS063,0,NO,P3,P3,0,11/03/2019,08:15,NA,3,2019_PS079,0.25,0.009203786,0.204458978,1,0.90792125,519.375496
3,22,2019,PS084,White,PS079,0,NO,P3,P2,1,17/03/2019,06:45,NA,2,2019_PS084,0.25,0.021515456,0.039904875,1.5,0.8988575,433.929962
3,23,2019,PS090,White,PS084,0,NO,P2,P3,2,20/03/2019,15:40,NA,3,2019_PS090,0.25,0.027788115,0.044328181,0,0.92858125,1083.464302
3,24,2019,PS092,White,PS090,0,NO,P3,P3,4,22/03/2019,16:15,NA,3,2019_PS092,0.125,0.006496131,0.021997622,0,0.906035,747.611631
3,26,2018,PS077,Olive-Blue,PS071,1,NO,P1,P4,0,12/02/2018,09:50,1,4,2018_PS077,0.25,0.0115,0.221426873,0.666666667,0.934708333,568.127376
3,27,2018,PS079,Red,PS070,0,NO,P1,P3,0,14/02/2018,09:40,NA,3,2018_PS079,1.125,0.001,0.012068965,0.5,0.88335875,292.337585
3,28,2018,PST002,Red,PS079,0,NO,P3,P3,2,17/02/2018,09:50,NA,3,2018_PST002,0.25,0.01125,0.065564804,0,0.97076375,345.656645
3,30,2018,PS081,Olive,PS073,0,NO,P1,P3,2,18/02/2018,09:15,NA,3,2018_PS081,0.125,0.00875,0.075326992,0,0.94576875,643.433739
3,31,2018,PS085,Olive,PS077,0,NO,P4,P4,0,18/02/2018,09:55,NA,4,2018_PS085,0.416666667,0.007333333,0.151676575,0.166666667,0.877381667,11.744785
3,32,2018,PS087,Pale Red/White,PS075,0,NO,P1,P3,1,18/02/2018,10:20,NA,3,2018_PS087,0.875,0.047,0.167788348,0.75,0.981865,1758.156053
3,33,2018,PS088,Blue,PS069,0,NO,P1,P3,0,20/02/2018,10:20,NA,3,2018_PS088,0.625,0.00725,0.049143876,0,0.9291725,136.462818
3,34,2018,PS090,Pale blue,PST001,0,NO,P3,P3,0,20/02/2018,10:45,NA,3,2018_PS090,0.25,0.03625,0.047277051,0,0.93506875,313.958342
3,35,2018,PST006,Pale red,PS087,1,NO,P3,P3,4,21/02/2018,10:30,1,3,2018_PST006,1.25,0.04475,0.008906065,2,0.9821875,1208.255595
3,37,2018,PS093,Pale blue,PS090,0,NO,P3,P3,0,22/02/2018,10:30,NA,3,2018_PS093,0.125,0.00725,0.003638526,1,0.88230375,336.954076
3,38,2018,PS092,White,PS083,0,YES,P1,P3,0,23/02/2018,09:23,3,3,2018_PS092,0,0.02925,0.123020214,0.25,0.91686375,878.158885
3,39,2018,PS096,White,PS080,0,NO,P1,P3,0,23/02/2018,10:20,NA,3,2018_PS096,0.75,0.03975,0.092152199,1.75,0.9402725,1280.050349
3,26,2018,PS098,Olive,PS085,0,NO,P4,P3,0,24/02/2018,09:55,NA,3,2018_PS098,0,0.01225,0.084649227,0.25,0.889915,429.206532
3,40,2018,PST012,Olive-Blue,PS081,0,NO,P3,P3,0,25/02/2018,08:55,NA,3,2018_PST012,1.125,0.071,0.134946492,0,0.9065675,321.530864
3,41,2018,PS101,White,PST008,0,YES,P3,P3,0,26/02/2018,11:45,1,3,2018_PS101,0.625,0.00875,0.288347205,0.75,0.91698375,1011.480495
3,42,2018,PS112,Red,PS094,0,NO,P1,P3,1,01/03/2018,08:50,NA,3,2018_PS112,0.625,0.00875,0.006908442,0,0.96074625,411.249291
3,43,2018,PS109,White,PS092,0,NO,P3,P3,1,01/03/2018,09:45,NA,3,2018_PS109,1.125,0.01275,0.102556481,0,0.91170125,374.678011
3,44,2018,PS113,Red,PS097,0,NO,P3,P2,1,02/03/2018,09:45,NA,2,2018_PS113,0.5,0.008,0.02646849,0,0.87121,422.760197
3,45,2018,PS121,Olive-Red,PS076,0,NO,P2,P3,0,02/03/2018,10:15,NA,3,2018_PS121,0.375,0.0065,0.059583828,0,0.8574375,393.258439
3,46,2018,PS120,White,PS078,0,NO,P3,P4,4,02/03/2018,11:05,NA,4,2018_PS120,0.666666667,0.025666667,0.069441141,0.333333333,0.912499167,371.327938
3,47,2018,PS119,Blue,PST013,0,NO,P3,P3,0,04/03/2018,10:10,NA,3,2018_PS119,0.125,0.0025,0.049904876,0.5,0.9169175,253.41473
3,48,2018,PS116,Red,PS103,0,NO,P1,P4,0,04/03/2018,10:30,NA,4,2018_PS116,0.083333333,0.0085,0.008149029,0.333333333,0.887268333,417.204913
3,49,2018,PS127,Blue,PS088,1,NO,P3,P4,0,07/03/2018,10:05,1,4,2018_PS127,1,0.079166667,0.280031708,0.666666667,0.952706667,1200.78144
